Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness
B10;10;-5400;504;0;0;19000000;-0.002;-0.000170526;-0.0035;-0.0015;0.00008;0.0001;1.59E-05;0.00015;1;2;0
B15;15;-7650;675;0;0;24000000;-0.002;-0.00019125;-0.0035;-0.0015;0.00008;0.0001;1.69E-05;0.00015;1;2;0
B20;20;-10350;810;0;0;27500000;-0.002;-0.000225818;-0.0035;-0.0015;0.00008;0.0001;1.77E-05;0.00015;1;2;0
B25;25;-13050;945;0;0;30000000;-0.002;-0.000261;-0.0035;-0.0015;0.00008;0.0001;1.89E-05;0.00015;1;2;0
B30;30;-15300;1035;0;0;32500000;-0.002;-0.000282462;-0.0035;-0.0015;0.00008;0.0001;1.91E-05;0.00015;1;2;0
B35;35;-17550;1170;0;0;34500000;-0.002;-0.000305217;-0.0035;-0.0015;0.00008;0.0001;2.03E-05;0.00015;1;2;0
B40;40;-19800;1260;0;0;36000000;-0.002;-0.00033;-0.0035;-0.0015;0.00008;0.0001;2.1E-05;0.00015;1;2;0
B45;45;-22500;1350;0;0;37000000;-0.002;-0.000364865;-0.0035;-0.0015;0.00008;0.0001;2.19E-05;0.00015;1;2;0
B50;50;-24750;1440;0;0;38000000;-0.002;-0.000390789;-0.0035;-0.0015;0.00008;0.0001;2.27E-05;0.00015;1;2;0
B55;55;-27000;1530;0;0;39000000;-0.002;-0.000415385;-0.0035;-0.0015;0.00008;0.0001;2.35E-05;0.00015;1;2;0
B60;60;-29700;1620;0;0;39500000;-0.002;-0.000451139;-0.0035;-0.0015;0.00008;0.0001;2.46E-05;0.00015;1;2;0
B70;70;-33300;1710;0;0;41000000;-0.002;-0.000487317;-0.0033;-0.0015;0.00008;0.0001;2.5E-05;0.00015;1;2;0
B80;80;-36900;1890;0;0;42000000;-0.002;-0.000527143;-0.003133333;-0.0015;0.00008;0.0001;2.7E-05;0.00015;1;2;0
B90;90;-39600;1935;0;0;42500000;-0.002;-0.000559059;-0.002966667;-0.0015;0.00008;0.0001;2.73E-05;0.00015;1;2;0
B100;100;-42750;1980;0;0;43000000;-0.002;-0.000596512;-0.0028;-0.0015;0.00008;0.0001;2.76E-05;0.00015;1;2;0
